v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
611,0.183750284217982,47.9215045707755,substation,,,Poste électrique de Arnage,,,SRID=4326;POINT(0.183750284217982 47.9215045707755)
612,0.240498351773307,47.8861182026008,substation,400000,,Poste électrique de Les Quintes,,,SRID=4326;POINT(0.240498351773307 47.8861182026008)
613,16.5011377691288,43.6003463070484,substation,400000,,TS Konjsko,,,SRID=4326;POINT(16.5011377691288 43.6003463070484)
614,15.7547644663753,44.207427368773,substation,400000,,TS Velebit,,,SRID=4326;POINT(15.7547644663753 44.207427368773)
615,17.7697157029328,43.3031110583648,substation,,,TS Mostar,,,SRID=4326;POINT(17.7697157029328 43.3031110583648)
616,16.7020045876919,43.4551430583981,generator,,,HE Zakučac,Hep,,SRID=4326;POINT(16.7020045876919 43.4551430583981)
617,15.9032366430518,43.7564218128111,substation,220000,,TS Bilice,,,SRID=4326;POINT(15.9032366430518 43.7564218128111)
618,19.1332726154199,47.5316554369822,substation,,50,Zugló alállomás,,,SRID=4326;POINT(19.1332726154199 47.5316554369822)
619,19.1401270277422,47.533279026544,substation,,,,,,SRID=4326;POINT(19.1401270277422 47.533279026544)
620,19.2064255051305,47.3202394013604,substation,220000,50,Ócsai transzformátor állomás,,,SRID=4326;POINT(19.2064255051305 47.3202394013604)
621,-9.00131177844121,39.338312022681,substation,400000,50,Subestação de Rio Maior,REN,,SRID=4326;POINT(-9.00131177844121 39.338312022681)
622,-8.95432420981565,39.01243112744,generator,,,Central Termoeléctrica do Ribatejo,Energias de Portugal (EDP),,SRID=4326;POINT(-8.95432420981565 39.01243112744)
623,18.8332323090016,47.3377776884421,substation,,,Martonvásár alállomás,,Martonvásár,SRID=4326;POINT(18.8332323090016 47.3377776884421)
624,18.6530735417377,47.4730351595733,substation,,50,Bicske dél alállomás,,Bicske dél,SRID=4326;POINT(18.6530735417377 47.4730351595733)
625,18.9156901616757,47.327141389937,substation,,,Dunamenti,,,SRID=4326;POINT(18.9156901616757 47.327141389937)
626,-8.79455480928544,37.932746696377,generator,,,Central Termoeléctrica de Sines,EDP,,SRID=4326;POINT(-8.79455480928544 37.932746696377)
627,-8.76386131684269,37.9975899994926,substation,400000;150000,50,Subestação de Sines,,,SRID=4326;POINT(-8.76386131684269 37.9975899994926)
628,10.7752919154685,44.6268079808448,substation,380000,50,Rubiera,Terna,,SRID=4326;POINT(10.7752919154685 44.6268079808448)
629,10.9661354751465,44.61341824271,substation,380000;132000;15000,,San Damaso,TERNA S.p.A.,,SRID=4326;POINT(10.9661354751465 44.61341824271)
630,11.1837194612735,44.5442484048671,substation,380000,,Martignone,Terna,,SRID=4326;POINT(11.1837194612735 44.5442484048671)
631,11.2508635129268,45.0243216263117,substation,380000,,Sermide,Edipower,,SRID=4326;POINT(11.2508635129268 45.0243216263117)
632,11.4612489056986,44.4833845152201,substation,380000,,Colunga,ENEL DISTRIBUZIONE,,SRID=4326;POINT(11.4612489056986 44.4833845152201)
633,12.0937767667905,44.2732705677411,substation,380000,,Forlì via Oraziana,Terna,,SRID=4326;POINT(12.0937767667905 44.2732705677411)
634,12.8529679579073,37.695119964937,substation,,50,Partanna,,,SRID=4326;POINT(12.8529679579073 37.695119964937)
635,13.0563921431745,38.0051673819821,substation,,50,Partinico,,,SRID=4326;POINT(13.0563921431745 38.0051673819821)
636,13.6438863477625,37.367702965752,substation,220000,,Favara,,,SRID=4326;POINT(13.6438863477625 37.367702965752)
637,14.6425085557307,37.0790056377549,substation,380000,,Chiaramonte Gulfi,Terna,,SRID=4326;POINT(14.6425085557307 37.0790056377549)
638,-6.09786461576801,37.6363383334118,substation,400000;220000,50,Subestación de Guillena,Red Eléctrica de España,,SRID=4326;POINT(-6.09786461576801 37.6363383334118)
639,-6.88273462810101,37.1847659777951,substation,400000,50,,,,SRID=4326;POINT(-6.88273462810101 37.1847659777951)
640,13.2835651054897,38.1280114147889,substation,,50,Bellolampo,,,SRID=4326;POINT(13.2835651054897 38.1280114147889)
641,13.7322830866138,37.9680006520268,substation,220000,,Caracoli,Terna,,SRID=4326;POINT(13.7322830866138 37.9680006520268)
642,13.7519774419045,37.9684626993892,plant,,,Centrale termoelettrica "Ettore Maiorana",Enel Energia,,SRID=4326;POINT(13.7519774419045 37.9684626993892)
643,15.2742123342893,38.1843212319365,substation,220000,50,Corriolo,Enel Distribuzione,,SRID=4326;POINT(15.2742123342893 38.1843212319365)
644,15.282882306049,38.1876103017713,substation,380000,50,Sorgente,Terna,,SRID=4326;POINT(15.282882306049 38.1876103017713)
645,15.281542364538,38.2038122233752,substation,220000;150000,,'San Filippo del Mela gruppi 1,2,3,4',Edipower,,SRID=4326;POINT(15.281542364538 38.2038122233752)
646,15.2844195456533,38.2020511937,substation,220000,,San Filippo del Mela gruppi 5 e 6,Edipower,,SRID=4326;POINT(15.2844195456533 38.2020511937)
647,-5.78405544420144,54.8451970933217,substation,275000,50,,,,SRID=4326;POINT(-5.78405544420144 54.8451970933217)
648,-6.61579701214923,54.7302504248114,substation,,,Magherafelt,,,SRID=4326;POINT(-6.61579701214923 54.7302504248114)
649,-6.16746677895486,54.8015205532515,substation,,,Kells,,,SRID=4326;POINT(-6.16746677895486 54.8015205532515)
650,-5.87822413426549,54.5626640210506,substation,,,,,,SRID=4326;POINT(-5.87822413426549 54.5626640210506)
651,-6.027408324047,54.5747074488198,substation,,50,,,,SRID=4326;POINT(-6.027408324047 54.5747074488198)
652,-6.4252937840336,54.3699429399126,substation,,,Tandragee,,,SRID=4326;POINT(-6.4252937840336 54.3699429399126)
653,-5.77046895194415,54.8432014971281,substation,,,Ballycronan More HVDC Static Inverter Plant,,,SRID=4326;POINT(-5.77046895194415 54.8432014971281)
654,-6.68168613480804,54.5119479038296,substation,275000,50,,,,SRID=4326;POINT(-6.68168613480804 54.5119479038296)
655,-8.36955207071624,51.8267942642389,substation,,50,Raffeen Substation,Eirgrid,,SRID=4326;POINT(-8.36955207071624 51.8267942642389)
656,-8.22722744030307,51.8356715622074,substation,,,Aghada 220kv Substation,,,SRID=4326;POINT(-8.22722744030307 51.8356715622074)
